people	people_points	faces	face_points	hands	hand_points
1	13	1	70	2	42
1	12	1	70	1	21
1	13	1	70	2	42
1	12	1	70	2	42
2	32	2	140	4	84
2	31	2	140	4	84
1	13	1	70	1	21
2	34	2	140	4	84
2	31	2	140	4	84
2	30	2	140	4	84
1	11	1	70	1	21
2	31	2	140	4	84
1	13	1	70	2	42
1	12	1	70	1	21
4	48	4	280	4	84
1	11	1	70	1	21
1	11	1	70	2	42
1	11	1	70	1	21
1	10	1	70	0	0
1	11	1	70	2	37
2	30	2	140	4	84
1	13	1	70	2	42
2	14	1	70	1	21
2	33	2	140	4	84
1	14	1	70	2	42
2	32	2	140	3	63
1	13	1	70	2	42
1	10	1	70	1	21
1	12	1	70	1	21
1	11	1	70	1	21
1	12	1	70	1	21
2	32	2	140	4	84
2	30	2	140	4	84
1	9	1	70	1	21
2	24	1	70	2	42
1	15	1	70	2	42
1	11	1	70	1	21
1	11	1	70	2	42
1	13	1	70	2	24
1	13	1	70	2	42
1	12	1	70	2	42
1	11	1	70	0	0
2	30	2	140	4	84
2	31	2	140	4	84
1	9	1	70	0	0
2	18	1	70	1	21
1	11	1	70	1	21
1	11	1	70	1	21
3	33	2	140	4	84
2	31	2	140	4	84
1	10	1	70	1	21
1	12	1	70	1	21
2	32	2	140	4	84
1	12	1	70	1	21
2	31	2	140	4	84
1	11	1	70	1	21
1	12	1	70	1	21
1	15	1	70	2	42
2	32	2	140	4	84
2	34	2	140	4	84
2	30	2	140	4	84
1	12	1	70	2	42
1	12	1	70	1	21
1	15	1	70	2	42
1	14	1	70	2	22
1	16	1	70	2	42
1	11	1	70	2	42
1	13	1	70	1	21
1	12	1	70	2	42
1	12	1	70	1	21
1	14	1	70	2	42
2	33	2	140	4	84
1	15	1	70	2	42
2	35	2	140	4	84
1	14	1	70	2	42
1	11	1	70	1	21
1	13	1	70	2	22
2	31	2	140	4	84
1	13	1	70	1	21
2	32	2	140	4	84
2	32	2	140	4	84
2	31	2	140	4	84
2	36	2	140	4	84
2	21	2	140	1	21
1	10	1	70	0	0
1	11	1	70	1	21
2	31	2	140	4	84
1	11	1	70	1	21
2	32	2	140	4	84
1	11	1	70	2	36
1	13	1	70	2	42
1	12	1	70	1	21
1	13	1	70	2	42
1	11	1	70	2	42
1	13	1	70	1	21
1	11	1	70	1	21
2	31	2	140	4	84
1	14	1	70	2	42
1	13	1	70	1	21
1	13	1	70	1	1
4	52	4	280	4	84
1	12	1	70	1	21
2	34	2	140	4	84
1	14	1	70	2	42
1	15	1	70	2	42
2	30	2	140	4	84
1	13	1	70	2	42
1	12	1	70	2	42
2	34	2	140	4	84
1	13	1	70	2	42
1	10	1	70	1	21
4	51	4	280	4	84
1	9	1	70	1	21
1	13	1	70	1	21
1	11	1	70	1	21
2	32	2	140	4	84
2	32	2	140	4	84
1	12	1	70	1	21
1	10	1	70	1	21
1	12	1	70	1	21
1	10	1	70	1	21
1	14	1	70	2	42
2	34	2	140	4	84
1	14	1	70	2	42
2	32	2	140	4	84
2	31	2	140	4	84
1	12	1	70	2	42
1	13	1	70	2	23
2	30	2	140	4	84
1	11	1	70	1	21
2	35	2	140	4	84
2	32	2	140	4	84
1	14	1	70	1	21
2	30	2	140	4	84
2	32	2	140	4	84
2	17	1	70	2	42
1	12	1	70	2	42
2	32	2	140	4	84
1	12	1	70	2	42
1	13	1	70	2	41
1	11	1	70	1	21
1	13	1	70	2	42
1	14	1	70	2	42
1	13	1	70	1	21
2	31	2	140	4	84
