people	people_points	faces	face_points	hands	hand_points
2	32	2	140	4	84
2	33	2	140	4	84
12	151	3	210	11	231
1	10	1	70	1	21
1	13	1	70	2	42
2	30	2	140	3	63
2	32	2	140	4	84
2	31	2	140	4	84
1	11	1	70	1	21
2	32	2	140	4	84
1	12	1	70	2	42
2	32	2	140	4	84
2	31	2	140	4	84
2	30	2	140	4	84
1	12	1	70	1	21
1	14	1	70	2	24
1	16	1	70	2	42
1	13	1	70	1	21
2	31	2	140	4	84
2	33	2	140	4	84
1	13	1	70	2	42
1	11	1	70	1	21
1	13	1	70	2	42
1	12	1	70	2	42
1	14	1	70	2	25
2	32	2	140	4	84
1	13	1	70	2	42
2	31	2	140	4	84
2	32	2	140	4	84
1	13	1	70	1	21
2	32	2	140	4	84
1	15	1	70	2	42
1	11	1	70	1	21
1	13	1	70	1	21
2	31	2	140	4	84
2	33	2	140	4	84
1	11	1	70	1	21
2	27	2	140	3	63
4	51	3	210	4	84
1	13	1	70	1	21
1	11	1	70	1	21
1	11	1	70	1	21
1	13	1	70	2	34
1	13	1	70	2	42
1	14	1	70	2	42
1	12	1	70	2	42
1	14	1	70	1	21
2	33	2	140	4	84
2	32	2	140	4	84
2	31	2	140	4	84
1	15	1	70	1	21
2	31	2	140	4	84
2	34	2	140	4	84
1	10	1	70	1	21
2	33	2	140	4	84
2	13	1	70	1	21
2	30	2	140	4	84
2	32	2	140	4	84
1	13	1	70	2	42
1	12	1	70	1	21
2	32	1	70	3	63
3	31	2	140	4	84
1	13	1	70	2	42
1	13	1	70	2	42
1	12	1	70	2	22
1	12	1	70	2	22
1	15	1	70	1	21
2	34	2	140	4	84
1	11	1	70	1	21
2	35	2	140	4	84
1	10	1	70	1	21
1	11	1	70	1	21
2	30	2	140	4	84
2	32	2	140	4	84
2	33	1	70	3	63
2	30	2	140	4	84
1	13	1	70	1	21
1	11	1	70	1	21
1	13	1	70	2	26
3	33	2	140	4	84
1	11	1	70	2	42
1	15	1	70	2	42
2	35	2	140	4	84
2	32	2	140	4	84
1	13	1	70	2	42
2	34	2	140	4	84
2	31	2	140	3	63
1	12	1	70	1	21
1	13	1	70	2	42
1	13	1	70	2	42
2	32	2	140	4	84
1	12	1	70	1	21
1	11	1	70	2	42
2	31	2	140	4	84
1	11	1	70	1	21
2	35	2	140	4	84
1	10	1	70	1	21
1	10	1	70	1	21
2	35	2	140	4	84
1	12	1	70	2	42
1	11	1	70	1	21
1	10	1	70	1	21
2	32	2	140	4	84
1	14	1	70	2	42
1	12	1	70	2	42
1	15	1	70	2	42
1	11	1	70	1	21
2	31	2	140	4	84
2	31	2	140	4	84
1	10	1	70	1	21
2	28	2	140	4	84
1	13	1	70	2	42
2	30	2	140	4	84
1	13	1	70	1	21
1	18	0	0	2	42
2	33	2	140	4	84
1	14	1	70	2	42
1	11	1	70	1	21
1	11	1	70	1	21
1	10	1	70	0	0
2	31	2	140	4	84
1	13	1	70	2	42
2	35	2	140	4	84
1	14	1	70	1	21
1	13	1	70	2	42
1	10	1	70	1	21
2	18	1	70	2	42
2	34	2	140	4	84
2	34	2	140	4	84
1	12	1	70	2	42
1	11	1	70	1	21
2	34	2	140	4	84
1	14	1	70	2	42
2	32	2	140	4	84
1	13	1	70	2	42
23	265	8	552	22	462
1	12	1	70	2	42
1	13	1	70	1	21
1	13	1	70	2	22
2	30	2	140	4	84
2	33	2	140	3	63
2	32	2	140	4	84
1	10	1	70	0	0
1	13	1	70	1	21
1	15	1	70	2	42
2	31	2	140	4	84
1	11	1	70	1	21
2	33	2	140	3	63
2	31	2	140	4	84
1	14	1	70	2	42
1	18	0	0	2	42
2	32	2	140	4	84
1	12	1	70	2	25
1	14	1	70	2	42
1	13	1	70	2	42
2	33	2	140	4	84
2	34	2	140	4	84
2	31	2	140	3	63
1	14	1	70	2	42
1	13	1	70	2	42
2	32	2	140	4	84
1	11	1	70	1	21
1	12	1	70	1	21
1	10	1	70	1	21
2	33	2	140	4	84
2	32	2	140	4	84
1	13	1	70	2	22
2	30	2	140	4	84
2	33	2	140	4	84
2	33	1	70	3	63
1	13	1	70	1	21
2	29	2	140	4	84
1	11	1	70	1	21
1	14	1	70	2	42
1	12	1	70	1	21
2	31	2	140	4	84
4	51	4	280	4	84
2	33	2	140	4	84
2	29	2	140	4	84
1	12	1	70	1	21
1	13	1	70	2	42
2	32	2	140	4	84
1	13	1	70	1	21
1	12	1	70	2	42
1	12	1	70	2	42
1	10	1	70	1	21
2	30	0	0	4	84
2	24	0	0	2	42
2	34	2	140	4	84
1	12	1	70	1	21
2	32	2	140	4	84
2	35	2	140	4	84
2	32	2	140	4	84
2	34	2	140	4	84
1	13	1	70	2	22
1	10	1	70	0	0
2	24	1	70	1	21
1	12	1	70	2	42
2	33	2	140	4	84
1	12	1	70	1	21
1	11	1	70	1	21
2	31	2	140	4	84
1	12	1	70	1	21
1	12	1	70	2	42
1	11	1	70	1	21
1	12	1	70	2	22
4	48	4	280	4	84
1	10	1	70	1	21
2	30	2	140	4	84
1	12	1	70	2	42
1	14	1	70	1	21
1	10	1	70	1	21
1	12	1	70	2	42
1	12	1	70	1	21
1	14	1	70	2	42
1	13	1	70	2	22
2	31	2	140	4	84
1	12	1	70	1	21
1	13	1	70	1	21
2	32	2	140	4	84
1	13	1	70	2	42
1	12	1	70	1	21
12	166	5	350	15	315
2	31	2	140	4	84
1	12	1	70	1	21
1	10	1	70	1	21
2	31	2	140	4	84
2	31	2	140	4	84
2	30	2	140	4	84
2	29	2	140	4	84
1	12	1	70	1	21
2	31	2	140	3	63
1	16	1	70	2	42
1	14	1	70	2	42
2	22	1	70	2	42
1	12	1	70	1	21
1	12	1	70	2	42
1	12	1	70	1	21
1	13	1	70	2	28
1	13	1	70	1	21
2	32	2	140	4	84
1	12	1	70	2	23
2	31	2	140	4	84
2	35	2	140	4	84
2	33	2	140	4	84
1	12	1	70	1	21
2	31	2	140	4	84
1	12	1	70	2	42
1	13	1	70	2	42
2	35	2	140	4	84
2	30	2	140	3	63
2	32	2	140	4	84
1	12	1	70	1	21
4	51	4	280	4	84
2	35	2	140	4	84
2	32	2	140	4	84
1	11	1	70	2	42
2	21	2	140	2	42
1	13	1	70	1	21
1	12	1	70	1	21
2	32	2	140	4	84
1	14	1	70	2	42
1	13	1	70	1	21
2	17	1	70	2	42
12	169	4	280	15	315
2	31	2	140	4	84
1	13	1	70	1	21
2	31	2	140	4	84
2	15	1	70	1	21
2	33	2	140	4	84
1	11	1	70	1	21
2	33	2	140	4	84
2	12	1	70	1	21
2	13	1	70	1	21
1	12	1	70	1	21
4	50	4	280	4	84
1	12	1	70	2	42
1	15	1	70	2	42
1	12	1	70	1	21
1	11	1	70	1	21
2	32	2	140	4	84
1	13	1	70	1	21
2	32	2	140	4	84
2	34	2	140	4	84
1	11	1	70	1	21
1	11	1	70	1	21
27	309	7	488	28	588
2	35	2	140	4	84
3	33	2	140	4	84
1	11	1	70	2	42
2	32	2	140	4	84
1	11	1	70	1	21
1	10	1	70	0	0
4	51	4	280	4	84
1	12	1	70	2	42
1	11	1	70	1	21
1	12	1	70	1	21
1	13	1	70	1	21
4	49	4	280	4	84
1	12	1	70	1	21
1	13	1	70	2	42
1	10	1	70	1	21
2	30	2	140	3	63
1	11	1	70	1	21
1	12	1	70	1	21
13	166	5	350	14	294
2	31	2	140	4	84
1	12	1	70	2	42
1	12	1	70	2	42
1	14	1	70	2	34
1	12	1	70	2	29
3	30	1	70	2	42
1	14	1	70	2	42
1	12	1	70	1	21
1	11	1	70	1	21
1	12	1	70	1	21
2	31	2	140	4	84
2	35	2	140	4	84
2	34	2	140	4	84
1	12	1	70	2	42
1	13	1	70	1	21
1	13	1	70	1	21
1	11	1	70	2	42
12	169	6	420	16	336
1	11	1	70	1	21
2	34	2	140	4	84
2	32	2	140	4	84
1	11	1	70	1	21
1	12	1	70	1	21
1	11	1	70	1	21
1	12	1	70	1	21
1	12	1	70	1	21
2	33	2	140	4	84
2	36	2	140	4	84
1	13	1	70	2	22
1	13	1	70	1	21
1	13	1	70	1	21
1	13	1	70	1	21
1	13	1	70	2	42
2	31	2	140	4	84
1	15	1	70	1	21
2	31	1	70	3	63
2	32	2	140	4	84
1	13	1	70	2	42
1	12	1	70	2	22
1	13	1	70	2	42
2	33	2	140	4	84
1	11	1	70	1	21
1	10	1	70	1	21
13	170	6	420	15	315
1	12	1	70	1	21
2	32	2	140	4	84
1	14	1	70	2	42
1	15	1	70	2	42
1	12	1	70	2	42
2	35	2	140	4	84
1	11	1	70	1	21
1	12	1	70	1	21
1	13	1	70	2	42
2	32	2	140	4	84
1	13	1	70	1	21
1	12	1	70	1	21
13	173	5	350	14	294
1	12	1	70	1	21
1	14	1	70	2	25
2	35	2	140	4	84
1	11	1	70	2	35
13	170	6	420	13	273
1	12	1	70	2	23
1	11	1	70	1	21
1	11	1	70	1	21
1	12	1	70	2	22
2	31	2	140	4	84
1	12	1	70	2	42
1	12	1	70	1	21
1	11	1	70	1	21
1	12	1	70	2	42
2	31	2	140	4	84
1	12	1	70	1	21
2	31	2	140	4	84
1	12	1	70	2	42
1	13	1	70	1	21
2	33	2	140	4	84
1	10	1	70	1	21
2	31	2	140	4	84
1	13	1	70	2	42
1	14	1	70	2	42
1	10	1	70	1	21
1	13	1	70	1	21
1	12	1	70	1	21
2	34	2	140	4	84
1	10	1	70	0	0
2	14	1	70	2	42
1	14	1	70	2	42
1	12	1	70	2	42
1	12	1	70	1	21
1	12	1	70	2	41
1	11	1	70	1	21
2	33	2	140	4	84
2	31	2	140	4	84
1	13	1	70	2	24
2	30	2	140	4	84
1	9	1	70	0	0
2	32	2	140	4	84
1	13	1	70	1	21
1	12	1	70	2	42
2	33	1	70	4	84
2	30	2	140	4	84
2	29	2	140	4	84
1	11	1	70	2	42
2	35	2	140	4	84
1	11	1	70	1	21
2	34	2	140	4	84
1	10	1	70	1	21
2	34	2	140	4	84
1	12	1	70	1	21
1	13	1	70	2	42
25	274	7	490	23	483
2	34	2	140	4	84
1	13	1	70	2	25
1	13	1	70	2	42
1	11	1	70	1	21
2	33	2	140	3	63
1	14	1	70	2	42
1	12	1	70	1	21
1	10	1	70	0	0
1	10	1	70	1	21
4	51	4	280	4	84
2	34	2	140	4	84
1	14	1	70	2	40
2	33	2	140	4	84
1	11	1	70	2	42
1	11	1	70	1	21
1	13	1	70	1	21
1	13	1	70	1	21
2	33	2	140	4	84
1	13	1	70	2	42
1	11	1	70	1	21
1	11	1	70	1	21
2	35	2	140	4	84
1	13	1	70	2	42
4	51	4	280	4	84
13	168	6	420	15	315
2	29	2	140	4	84
2	36	2	140	4	84
2	16	1	70	2	42
1	12	1	70	1	21
2	33	2	140	4	84
1	12	1	70	2	42
1	12	1	70	1	21
1	13	1	70	2	42
2	31	2	140	3	63
1	13	1	70	2	42
2	31	2	140	4	84
2	31	2	140	4	84
1	12	1	70	1	21
1	15	1	70	1	21
1	12	1	70	1	21
2	34	2	140	4	84
