people	people_points	faces	face_points	hands	hand_points
1	13	1	70	2	42
2	20	1	70	2	42
4	56	3	210	6	126
2	34	2	140	4	84
2	24	2	140	3	63
1	12	1	70	1	21
1	13	1	70	2	42
11	93	10	694	1	21
2	33	1	70	4	84
2	34	1	70	4	84
2	16	1	70	2	42
1	13	1	70	2	42
4	66	3	210	6	126
1	12	1	70	2	42
2	33	2	140	4	84
2	33	2	140	4	84
2	32	2	140	3	63
2	24	1	70	2	42
1	12	1	70	2	42
3	37	2	140	4	84
1	13	1	70	2	42
1	11	1	70	2	42
2	25	1	70	3	63
1	14	1	70	2	42
6	70	5	350	6	126
1	14	1	70	2	26
1	10	1	70	1	21
2	32	2	140	4	84
2	22	1	70	2	42
1	14	1	70	2	42
2	34	1	70	4	84
3	43	0	0	4	84
2	33	2	140	4	84
1	13	1	70	1	21
3	33	2	140	4	84
2	33	2	140	4	84
2	33	1	70	4	84
2	29	2	140	3	63
2	24	2	140	3	63
2	35	0	0	4	84
2	32	2	140	4	84
8	81	4	280	7	147
1	12	1	70	2	42
1	11	1	70	2	42
1	11	1	70	1	21
2	35	1	70	4	84
2	26	1	70	3	63
2	33	2	140	4	84
2	33	2	140	4	84
4	67	3	210	6	126
4	58	4	280	7	147
1	11	1	70	2	42
2	33	2	140	4	84
1	12	1	70	1	21
4	55	4	280	7	147
6	71	6	420	6	126
2	33	1	70	4	84
2	33	2	140	4	84
2	33	2	140	4	84
1	13	1	70	2	42
5	76	4	280	10	210
6	77	4	280	6	126
1	13	1	70	2	42
1	13	1	70	2	42
8	79	4	280	7	147
7	78	4	280	6	126
1	13	1	70	2	42
1	13	1	70	2	42
2	21	1	70	2	42
1	16	1	70	2	42
20	222	15	1046	22	446
4	66	4	280	6	126
1	13	1	70	2	42
1	13	1	70	2	42
2	35	2	140	4	84
5	79	4	280	10	210
2	32	2	140	4	84
2	30	1	70	4	84
1	11	1	70	2	42
1	13	1	70	2	42
1	13	1	70	1	21
1	12	1	70	2	42
2	34	1	70	4	84
2	21	1	70	2	42
4	59	4	280	8	168
2	33	2	140	4	84
2	33	2	140	4	84
1	13	1	70	2	42
2	32	2	140	4	84
1	14	1	70	2	42
1	14	1	70	2	42
2	29	2	140	3	63
4	56	4	280	7	147
1	15	1	70	2	42
8	87	4	280	6	126
2	34	2	140	4	84
2	30	2	140	3	63
2	32	2	140	4	84
4	67	3	210	6	126
1	13	1	70	2	42
18	189	13	910	18	378
1	10	1	70	1	21
4	65	3	210	6	126
1	13	1	70	2	42
1	11	1	70	1	21
22	206	9	626	16	336
2	29	2	140	4	84
1	11	1	70	2	39
1	14	1	70	2	42
1	12	1	70	2	42
4	56	4	280	7	147
2	21	1	70	2	42
4	53	4	280	7	147
2	33	2	140	4	84
1	12	1	70	2	42
2	32	2	140	4	84
8	89	4	280	5	105
2	26	2	140	3	63
2	18	2	140	2	42
6	69	6	420	5	105
2	17	1	70	2	42
1	13	1	70	2	42
3	31	1	70	3	63
1	11	1	70	2	42
2	31	2	140	4	84
1	13	1	70	2	42
2	20	1	70	1	21
4	49	2	140	6	126
4	57	4	280	8	168
1	13	1	70	1	21
2	17	1	70	0	0
5	79	4	280	10	210
1	14	1	70	2	42
2	32	2	140	4	84
2	14	1	70	2	42
1	13	1	70	1	21
1	14	1	70	2	42
2	31	2	140	3	63
4	65	3	210	6	126
2	34	2	140	4	84
2	33	1	70	4	84
2	16	1	70	2	42
1	14	1	70	2	42
2	31	1	70	4	84
2	10	0	0	1	21
4	65	3	210	6	126
2	34	2	140	4	84
1	6	0	0	0	0
1	14	1	70	2	42
9	96	8	560	8	168
1	14	1	70	2	42
1	13	1	70	1	21
1	11	1	70	2	42
20	219	15	1047	20	416
2	34	1	70	4	84
2	34	2	140	4	84
1	12	1	70	2	42
2	22	2	140	2	42
1	11	1	70	1	21
5	64	4	280	9	189
2	35	1	70	4	84
4	58	4	280	8	168
4	67	3	210	6	126
1	13	1	70	2	42
1	14	1	70	2	42
3	38	2	140	4	84
2	35	0	0	4	84
2	30	2	140	4	84
1	13	1	70	1	21
2	24	2	140	3	63
2	32	0	0	4	84
1	12	1	70	2	42
1	14	1	70	2	42
4	59	4	280	8	168
1	13	1	70	2	42
2	26	2	140	3	63
6	71	5	350	5	105
2	34	1	70	4	84
4	54	4	280	6	126
22	231	10	700	16	336
5	76	4	280	10	210
13	156	10	700	17	357
2	32	1	70	3	63
2	25	1	70	2	42
1	14	1	70	2	42
2	33	2	140	4	84
2	32	2	140	4	84
2	32	2	140	4	84
2	34	2	140	4	84
4	48	2	140	4	84
1	12	1	70	2	42
7	84	4	280	5	105
2	24	2	140	3	63
6	73	5	350	6	126
1	14	1	70	2	42
2	34	2	140	4	84
7	83	4	280	5	105
3	19	1	70	2	42
6	74	4	280	6	126
1	12	1	70	2	42
1	14	1	70	2	42
2	32	2	140	4	84
6	73	5	350	6	126
5	80	4	280	10	210
2	26	1	70	2	42
2	32	2	140	4	84
7	83	5	350	7	147
3	35	2	140	3	63
1	13	1	70	2	42
4	59	4	280	8	168
1	10	1	70	1	21
4	66	3	210	6	126
2	33	2	140	4	84
2	34	2	140	4	84
4	66	3	210	6	126
4	59	4	280	8	168
4	66	4	280	6	126
6	75	4	280	6	126
2	21	2	140	2	42
1	12	1	70	1	21
6	72	5	350	6	126
4	28	1	70	3	63
2	33	2	140	4	84
2	33	1	70	3	63
7	76	4	280	5	105
2	23	1	70	1	21
2	23	2	140	2	42
6	74	4	280	6	126
2	30	2	140	4	84
8	84	4	280	6	126
2	34	2	140	4	84
6	75	4	280	6	126
1	10	1	70	1	21
1	13	1	70	1	21
6	71	5	350	6	126
5	79	4	280	10	210
2	34	0	0	4	84
6	76	4	280	7	147
8	88	4	280	5	105
1	13	1	70	2	42
2	24	1	70	3	63
4	57	4	280	8	168
6	76	4	280	5	105
5	77	4	280	10	210
2	31	2	140	4	84
1	13	1	70	2	42
3	27	2	140	4	84
1	14	1	70	2	42
2	33	2	140	4	84
2	32	2	140	4	84
1	11	1	70	2	42
1	13	1	70	1	21
2	32	1	70	4	84
1	15	1	70	2	42
2	17	1	70	2	42
2	30	2	140	4	84
1	13	1	70	1	21
4	57	4	280	8	168
5	76	4	280	10	210
2	23	2	140	2	42
1	13	1	70	2	42
1	12	1	70	1	21
1	10	1	70	1	21
1	11	1	70	1	21
1	14	1	70	2	42
2	31	2	140	4	84
1	12	1	70	2	42
6	69	5	350	5	105
6	74	4	280	6	126
1	12	1	70	0	0
4	57	4	280	8	168
2	33	2	140	4	84
2	27	1	70	4	84
1	12	1	70	2	42
6	71	5	350	5	105
1	13	1	70	1	21
7	75	4	280	6	126
1	14	1	70	2	42
2	34	2	140	4	84
2	33	2	140	4	84
1	12	1	70	2	42
2	32	2	140	3	63
1	13	1	70	2	42
2	34	2	140	4	84
1	14	1	70	2	42
1	12	1	70	1	21
2	29	1	70	3	63
1	14	1	70	2	42
2	35	1	70	4	84
4	56	1	70	4	84
2	22	1	70	2	42
2	33	2	140	4	84
2	24	1	70	2	42
